State,Percentage of Renters,Percentage of College Grads,Percentage of People with incomes 50% or less of poverty threshold,Percentage of people Unemployed,Median Household Income,Gini Coefficient of Income Inequality,Population Density,State Full Name,Condo/Coop ZHVI,Median Rent (2020),Bottom-Tier ZHVI,Mid-Tier ZHVI,Top-Tier ZHVI,"Proportion State Overall Homeless,2020",All Single Family ZHVI,Homelessness Rate (%),Pecentage of Senate members who are Democrats,Percentage of House Representatives who are Democrats,Democratic Governer,Percentage of Households that are Crowded,Resident Population Density,Percentage of Households with Children
OR,37.23248623049485,34.40076337173962,5.600886948269162,5.457944118221274,65667.0,0.4579,43.5054275984489,Oregon,286892.0,1035.0,263406.0,377681.0,558361.0,0.0034551097430558305,381706.0,0.34551097430558303,0.6,0.6166666667,0.0,0.03200000000000003,44.1,0.2562519063010059
PA,31.025177020879447,32.33056336608751,5.40610884212163,5.355952124453365,63627.0,0.4702,285.96863591172064,Pennsylvania,187911.0,788.0,113622.0,201556.0,351930.0,0.001029667908041995,202347.0,0.1029667908041995,0.42,0.4581280788,0.0,0.014000000000000012,290.6,0.2502764559048181
PR,32.20819590146871,26.67188265401104,23.47594406370093,15.073505379582658,21058.0,0.5448,950.7410677638524,Puerto Rico,,383.0,,,,0.0007469058715760719,,0.0746905871576072,,,0.0,0.025999999999999912,959.6,0.2299193281520449
RI,38.40570973886625,35.02218865074119,5.020805720196494,5.51956822262594,70305.0,0.4661,1023.1256443763176,Rhode Island,245632.0,885.0,229470.0,308632.0,499371.0,0.0010070888473120124,313973.0,0.10070888473120124,0.8684210526,0.88,0.0,0.019000000000000017,"1,061.40",0.25409302437730574
SC,29.8799733466702,28.98987822785574,6.683674798961897,5.533765058826172,54864.0,0.477,169.35434568141554,South Carolina,174667.0,717.0,111079.0,199112.0,358450.0,0.0008355537780303735,201154.0,0.08355537780303735,0.4130434783,0.3548387097,1.0,0.019000000000000017,170.2,0.25049286737929144
SD,32.01783383829964,29.29646838226677,6.11853019731501,3.5096833718483773,59896.0,0.4413,11.59926750453154,South Dakota,172670.0,649.0,140798.0,217210.0,343341.0,0.0011926515529833762,217937.0,0.11926515529833762,0.1428571429,0.1571428571,1.0,0.02200000000000002,11.7,0.271690075256268
TN,33.45088285271012,28.15086173803138,6.313621872628141,5.334661176031095,54833.0,0.4775,164.24592623312296,Tennessee,223357.0,708.0,101357.0,198438.0,355422.0,0.0010485368820969698,197244.0,0.10485368820969698,0.1515151515,0.2626262626,1.0,0.018000000000000016,167.6,0.2630724903436505
TX,37.72698961343903,30.68955949833958,6.240681706920313,5.296687646094671,63826.0,0.4765,109.60185997609835,Texas,187469.0,915.0,127027.0,217335.0,380886.0,0.0009319365932643529,218058.0,0.09319365932643528,0.3870967742,0.44,1.0,0.04700000000000004,111.6,0.3220387095992659
UT,29.469624107360875,34.684490856700016,4.087975399485953,3.624615469471974,74197.0,0.4245,38.25393802897607,Utah,288044.0,958.0,265827.0,362626.0,552252.0,0.0009540833303876912,369152.0,0.09540833303876911,0.2068965517,0.2133333333,1.0,0.03400000000000003,39.7,0.36706616368248207
VT,28.715018337315296,39.65898269353004,4.852834792928603,3.761490188499123,63477.0,0.4485,67.73457861774051,Vermont,234925.0,877.0,164910.0,262073.0,409461.0,0.001727639903812481,265823.0,0.1727639903812481,0.7333333333,0.6266666667,1.0,0.015999999999999903,69.8,0.2252750597294295
VA,33.30118422007204,39.51492031223181,4.763181244189533,4.626257620107683,76398.0,0.4735,215.52442051522303,Virginia,262067.0,1088.0,164874.0,290590.0,538058.0,0.0006901030624959743,293797.0,0.06901030624959743,0.525,0.55,0.0,0.019000000000000017,218.6,0.27892721413539245
WA,36.745643745556336,36.67926914473733,4.73721497367287,4.899501012836889,77006.0,0.4574,113.04569367685822,Washington,345522.0,1202.0,278676.0,418718.0,716115.0,0.002969767910364131,424191.0,0.2969767910364131,0.5918367347,0.5816326531,0.0,0.03400000000000003,115.9,0.27593396980269264
WV,26.3470142393103,21.296954751614063,7.527721433978643,6.534070573638427,48037.0,0.4661,75.18050525078468,West Virginia,124864.0,543.0,53375.0,111407.0,207532.0,0.0007492465630199609,111257.0,0.07492465630199609,0.4117647059,0.41,1.0,0.013000000000000012,74.6,0.23096556279665229
WI,32.86191590602771,30.80137253592184,4.911630651905606,3.551546960022062,63293.0,0.4448,107.20475237791794,Wisconsin,185898.0,741.0,123019.0,199858.0,324050.0,0.0007662512730547867,201457.0,0.07662512730547867,0.4242424242,0.3636363636,0.0,0.015999999999999903,108.8,0.2582728291563899
WY,29.027444893689093,28.18066335895158,4.919927036400651,4.398580158817287,65304.0,0.4393,5.987799468905971,Wyoming,315905.0,734.0,168057.0,258273.0,428799.0,0.0010601679985171506,257788.0,0.10601679985171505,0.1,0.15,1.0,0.020000000000000018,5.9,0.2692780976799825
DC,,,,,,,,,,,,,,,,,,,,,"11,280.00",0.1764854824891522
